262	CUL4B	protein
263	PDCD4	protein
264	CASP3	protein
265	BLNK	protein
266	ISG15	protein
267	PML	protein
268	GNS	protein
269	COASY	protein
270	CDK6	protein
271	NXF1	protein
272	GTF2I	protein
273	ABL1	protein
274	CHEK1	protein
275	IL1B	protein
276	GMPPB	protein
277	RPA3	protein
278	AXIN1	protein
279	FOXO3	protein
280	BAG1	protein
281	SMG7	protein
282	H4C6	protein
283	ASAH1	protein
284	BAD	protein
285	GOT1	protein
286	H3-4	protein
287	CLU	protein
288	PDE3B	protein
289	PSMC5	protein
290	PDGFRB	protein
291	JAM3	protein
292	MCM5	protein
293	U2SURP	protein
294	NDRG1	protein
295	AQP2	protein
296	NR1H4	protein
297	DCLRE1C	protein
298	PPP1CA	protein
299	CEP97	protein
300	TNFRSF1A	protein
301	SNAP25	protein
302	GGA1	protein
303	MRPL20	protein
304	CDK1	protein
305	FLOT2	protein
306	PSMB9	protein
307	NR3C1	protein
308	MATR3	protein
309	NDUFB10	protein
310	PLAU	protein
311	DLG4	protein
312	HEATR1	protein
313	SSR1	protein
314	KRT10	protein
315	PPID	protein
316	GGH	protein
317	FANCL	protein
318	BARD1	protein
319	TUBG1	protein
320	RACK1	protein
321	PHLPP1	protein
322	PSMD4	protein
323	GPD1	protein
324	VCAM1	protein
325	POLD4	protein
326	XRCC6	protein
327	CCL2	protein
328	IKBKB	protein
329	RXRG	protein
330	AARS1	protein
331	PKM	protein
332	S100A9	protein
333	TUBB3	protein
334	HIF1A	protein
335	TUBA1C	protein
336	TRPM7	protein
337	BTRC	protein
338	CD38	protein
339	B2M	protein
340	GK	protein
341	YWHAB	protein
342	RPL37A	protein
343	MAPK8IP2	protein
344	TAF15	protein
345	GRIN2B	protein
346	NDUFA4	protein
347	CASP8	protein
348	PRKAR2B	protein
349	CAMKK2	protein
350	EXOC2	protein
351	RPS3A	protein
352	BUD31	protein
353	CTLA4	protein
354	NUP42	protein
355	CCR4	protein
356	IARS2	protein
357	LRP2	protein
358	EIF4E	protein
359	PWP2	protein
360	CREB1	protein
361	XRCC5	protein
362	ATG101	protein
363	CDKN1A	protein
364	ARPC4	protein
365	DAXX	protein
366	LIFR	protein
367	DNA2	protein
368	KIT	protein
369	FANCG	protein
370	THOC7	protein
371	SART1	protein
372	SLC9A3R1	protein
373	SIPA1L1	protein
374	POLR2I	protein
375	VAMP3	protein
376	ENO1	protein
377	PPP1R12C	protein
378	PDCL	protein
379	LPAR6	protein
380	BACE1	protein
381	VRK3	protein
382	CSNK2B	protein
383	TGFBR3	protein
384	NADK	protein
385	REV1	protein
386	SORL1	protein
387	UBE2T	protein
388	SAMHD1	protein
389	PTGER4	protein
390	CUL7	protein
391	MAFB	protein
392	BRCA1	protein
393	EFNB2	protein
394	RANBP1	protein
395	PSMD1	protein
396	YME1L1	protein
397	ASIC4	protein
398	PSMA1	protein
399	OS9	protein
400	MAP3K14	protein
401	EPN3	protein
402	NQO1	protein
403	ECH1	protein
404	SCLY	protein
405	MIR10B	protein
406	GNAI3	protein
407	MCM2	protein
408	COLGALT2	protein
409	SLC9A1	protein
410	PDHB	protein
411	PEX1	protein
412	CA4	protein
413	PPM1B	protein
414	ABCD1	protein
415	ARRB1	protein
416	PRPF19	protein
417	LAMP1	protein
418	GBP1	protein
419	SF3A1	protein
420	TAB1	protein
421	VCP	protein
422	RPL6	protein
423	SYCP3	protein
424	MYH11	protein
425	DDIT3	protein
426	GSK3B	protein
