368	NR1H3
369	NR1H4
370	NR3C1
371	NR3C2
372	NRP1
373	NSF
374	NTRK1
375	NUP133
376	NUP160
377	NUP205
378	NUP42
379	NUP58
380	NUP98
381	NXF1
382	NXF2
383	OGT
384	ORC6
385	OS9
386	OSM
387	PAFAH1B1
388	PAFAH1B3
389	PAICS
390	PAIP1
391	PAN2
392	PARK7
393	PC
394	PCGF2
395	PCNA
396	PDCD4
397	PDCL
398	PDE3B
399	PDGFRB
400	PDHA1
401	PDHB
402	PDIA3
403	PEX1
404	PEX19
405	PGAM5
406	PGR
407	PHF1
408	PHLPP1
409	PIAS2
410	PIK3C2A
411	PIK3C3
412	PIK3R1
413	PIK3R2
414	PKM
415	PLAU
416	PLK1
417	PLOD1
418	PML
419	POLD2
420	POLD4
421	POLE2
422	POLR1B
423	POLR2A
424	POLR2I
425	PPID
426	PPIF
427	PPM1B
428	PPP1CA
429	PPP1CB
430	PPP1R12A
431	PPP1R12C
432	PPP1R15A
433	PPP3CA
434	PRDX6
435	PRKAR1A
436	PRKAR2B
437	PRKN
438	PRNP
439	PRPF19
440	PSMA1
441	PSMA2
442	PSMA4
443	PSMB1
444	PSMB2
445	PSMB3
446	PSMB9
447	PSMC3
448	PSMC4
449	PSMC5
450	PSMD1
451	PSMD11
452	PSMD3
453	PSMD4
454	PSME3
455	PSMF1
456	PTGER4
457	PTGS2
458	PTPN1
459	PTPN11
460	PWP2
461	PYCARD
462	RAB35
463	RAB4A
464	RACK1
465	RAD21
466	RAD23A
467	RAF1
468	RAG1
469	RALBP1
470	RANBP1
471	RBL2
472	REL
473	REV1
474	REXO1
475	REXO2
476	RFC1
477	RFC4
478	RFC5
479	RHOC
480	RPA1
481	RPA2
482	RPA3
483	RPIA
484	RPL10
485	RPL11
486	RPL13
487	RPL18A
488	RPL23
489	RPL26L1
490	RPL37A
491	RPL5
492	RPL6
493	RPL7
494	RPL7A
495	RPS3A
496	RPS6KA2
497	RPS6KB1
498	RPTOR
499	RXRA
500	RXRG
501	RXYLT1
502	S100A1
503	S100A9
504	S100B
505	SAMHD1
506	SART1
507	SCLY
508	SCP2
509	SEC13
510	SEC22B
511	SENP2
512	SERPINB13
513	SF3A1
514	SFN
515	SGPP1
516	SH3BP2
517	SH3GLB1
518	SIPA1L1
519	SIRT1
520	SIRT2
521	SIRT7
522	SKAP1
523	SKIL
524	SLC15A1
525	SLC4A1
526	SLC9A1
527	SLC9A3R1
528	SLC9A6
529	SLK
530	SMAD4
531	SMARCA4
532	SMARCAD1
533	SMARCB1
534	SMARCE1
535	SMC3
536	SMG7
537	SMN1
538	SMURF1
539	SNAP25
540	SNRNP70
541	SNRPD3
542	SNRPG
543	SNW1
544	SORL1
545	SOS1
546	SPTA1
547	SPTBN4
548	SRSF3
549	SSR1
550	STAT5A
551	STAT5B
552	STX3
553	STX8
554	SUMO1
555	SUMO3
556	SYCP3
557	SYMPK
558	SYNPO
559	SYVN1
560	TAB1
561	TAB2
562	TADA3
563	TAF12
564	TAF15
565	TAF3
566	TARDBP
567	TBXA2R
568	TCOF1
569	TGFBR3
570	THBS1
571	THBS3
572	THOC2
573	THOC7
574	TJP2
575	TK1
576	TNFRSF1A
577	TNFRSF21
578	TP53
579	TP63
580	TPSB2
581	TRA2B
582	TRADD
583	TRAF6
584	TRPM7
585	TSG101
586	TTN
587	TUBA1C
588	TUBB3
589	TUBG1
590	TWISTNB
591	U2SURP
592	UBE2A
593	UBE2E2
594	UBE2T
595	UBE4B
596	UIMC1
597	UNG
598	USP14
599	VAMP3
600	VCAM1
601	VCP
602	VDAC3
603	VRK3
604	WDR36
605	WDR5
606	WDR82
607	WT1
608	WWOX
609	XRCC5
