275	484
557	275
553	599
553	373
158	3
158	189
158	600
158	608
158	592
507	475
598	20
598	447
456	27
275	231
231	468
605	231
115	231
407	231
231	584
232	465
591	119
591	318
591	326
591	134
591	322
290	429
435	222
435	253
435	344
220	79
220	203
211	209
36	437
44	94
378	350
489	486
489	298
489	136
489	382
489	376
420	419
472	421
61	472
472	186
472	162
569	372
424	446
303	84
303	85
303	288
303	30
303	560
303	91
68	169
68	429
347	68
68	57
545	351
545	193
434	611
434	241
434	218
434	434
463	282
188	458
188	37
227	227
418	354
418	461
418	296
418	128
418	77
418	43
418	523
418	89
418	454
160	182
160	2
160	608
160	229
160	97
233	524
206	606
276	578
276	415
401	400
401	156
361	28
208	210
208	567
208	412
208	397
208	344
103	102
313	615
313	95
313	313
299	180
173	73
277	478
478	620
478	477
428	383
428	533
428	371
428	558
428	236
428	432
428	48
389	157
389	374
389	448
582	73
582	147
271	362
518	349
518	281
283	360
55	449
55	70
264	69
309	58
309	310
309	366
309	465
309	74
309	240
249	250
520	191
100	101
257	528
323	564
564	307
564	331
480	564
564	330
564	324
386	287
542	506
506	246
506	513
506	279
506	149
479	125
398	399
75	78
171	291
88	86
88	427
88	596
88	85
88	600
88	505
88	196
158	408
554	579
579	471
61	579
502	502
539	552
539	137
311	522
348	304
341	612
197	119
278	286
278	83
550	165
273	550
550	531
550	114
163	150
58	353
58	224
58	589
58	198
58	59
58	42
58	95
58	50
58	315
58	589
58	533
58	238
58	4
58	412
58	473
500	368
167	229
105	104
562	377
619	562
403	571
152	124
152	153
152	497
107	321
107	563
472	107
107	423
107	332
179	413
237	445
237	452
527	402
527	464
527	118
408	527
344	498
344	284
344	601
344	583
72	344
344	155
344	94
529	316
346	66
365	363
158	430
430	9
430	578
357	356
175	366
175	176
546	175
7	272
23	481
23	302
23	192
295	414
433	601
433	10
52	19
52	35
577	453
93	35
609	406
609	384
609	538
609	169
609	476
609	51
609	54
609	130
609	610
511	375
511	555
127	576
485	487
485	312
485	491
485	352
485	178
485	488
485	212
297	297
219	138
132	437
604	178
604	460
604	225
574	613
309	574
269	162
164	469
53	14
53	561
53	411
32	404
436	207
223	223
174	39
217	204
402	342
402	308
402	1
512	200
515	29
570	292
380	509
380	16
380	113
380	379
536	139
337	340
58	5
5	45
201	258
201	46
201	544
442	440
442	441
442	466
277	442
442	248
47	34
293	294
12	60
409	187
409	555
409	392
409	578
205	259
21	516
106	359
546	610
546	166
64	525
80	81
80	551
526	301
230	277
8	517
548	251
548	503
548	119
548	391
508	400
534	608
534	353
534	214
534	370
534	314
61	260
61	11
61	261
61	76
61	364
61	84
61	530
61	172
61	312
61	611
595	443
61	595
595	239
355	504
355	585
369	499
393	580
393	254
129	493
129	345
129	190
129	597
474	17
534	15
15	343
142	96
140	49
140	247
168	6
431	41
594	184
252	215
266	266
405	587
405	437
405	50
405	319
25	588
25	87
581	327
581	320
581	325
581	503
581	328
581	540
581	122
581	317
496	245
410	226
390	396
285	18
338	336
146	63
280	17
280	112
438	98
455	444
273	467
273	117
273	459
273	263
273	267
195	33
457	158
618	90
586	289
586	170
450	451
450	559
450	236
450	221
450	437
450	374
450	56
199	277
554	128
554	344
369	554
554	40
554	616
347	94
347	400
254	255
358	194
358	334
274	274
547	86
148	549
417	270
417	121
417	402
417	329
145	244
145	356
71	213
71	51
573	572
126	268
494	58
494	514
494	272
494	490
494	123
494	124
494	248
262	265
425	183
480	391
480	31
480	543
480	439
480	56
480	26
480	243
135	120
422	568
422	590
462	92
394	593
394	159
483	144
65	360
300	245
22	82
228	308
385	501
385	202
234	575
234	537
234	180
542	541
542	133
333	519
566	470
566	482
566	242
566	94
131	495
131	437
557	318
557	108
557	324
480	557
557	109
339	335
556	535
177	270
143	521
161	116
161	99
256	181
532	617
603	416
185	216
185	492
602	426
602	154
387	67
387	388
387	614
621	124
621	316
621	510
621	38
565	231
13	13
141	395
141	235
141	521
141	607
62	439
305	151
305	306
24	24
367	381
110	111
110	162
