61	11	direct interaction
61	261	physical association
61	76	physical association
61	364	physical association
61	84	physical association
61	530	physical association
61	172	physical association
61	312	direct interaction
61	611	physical association
595	443	colocalization
61	595	physical association
595	239	direct interaction
355	504	physical association
355	585	colocalization
369	499	direct interaction
393	580	physical association
393	254	physical association
129	493	physical association
129	345	physical association
129	190	physical association
129	597	physical association
474	17	physical association
534	15	direct interaction
15	343	direct interaction
142	96	direct interaction
140	49	physical association
140	247	physical association
168	6	physical association
431	41	direct interaction
594	184	physical association
252	215	colocalization
266	266	association
405	587	physical association
405	437	physical association
405	50	physical association
405	319	physical association
25	588	direct interaction
25	87	physical association
581	327	physical association
581	320	physical association
581	325	physical association
581	503	colocalization
581	328	physical association
581	540	physical association
581	122	physical association
581	317	physical association
496	245	physical association
410	226	physical association
390	396	colocalization
285	18	association
338	336	colocalization
146	63	direct interaction
280	17	physical association
280	112	physical association
438	98	direct interaction
455	444	physical association
273	467	direct interaction
273	117	physical association
273	459	direct interaction
273	263	direct interaction
273	267	physical association
195	33	physical association
457	158	direct interaction
618	90	direct interaction
586	289	physical association
586	170	physical association
450	451	colocalization
450	559	physical association
450	236	physical association
450	221	physical association
450	437	physical association
450	374	physical association
450	56	synthetic genetic interaction defined by inequality
199	277	physical association
554	128	direct interaction
554	344	direct interaction
369	554	physical association
554	40	direct interaction
554	616	direct interaction
347	94	physical association
347	400	physical association
254	255	physical association
358	194	physical association
358	334	colocalization
274	274	direct interaction
547	86	direct interaction
148	549	physical association
417	270	physical association
417	121	physical association
417	402	physical association
417	329	physical association
145	244	physical association
145	356	physical association
71	213	colocalization
71	51	colocalization
573	572	physical association
126	268	physical association
494	58	physical association
494	514	physical association
494	272	physical association
494	490	colocalization
494	123	physical association
494	124	physical association
494	248	physical association
262	265	physical association
425	183	direct interaction
480	391	physical association
480	31	physical association
480	543	physical association
480	439	direct interaction
480	56	direct interaction
480	26	colocalization
480	243	direct interaction
135	120	physical association
422	568	physical association
422	590	physical association
462	92	physical association
394	593	direct interaction
394	159	physical association
483	144	physical association
65	360	direct interaction
300	245	physical association
22	82	physical association
228	308	physical association
385	501	physical association
385	202	physical association
234	575	direct interaction
234	537	direct interaction
234	180	physical association
542	541	colocalization
542	133	direct interaction
333	519	direct interaction
566	470	colocalization
566	482	physical association
566	242	physical association
566	94	physical association
131	495	physical association
131	437	physical association
557	318	physical association
557	108	physical association
557	324	physical association
480	557	physical association
557	109	physical association
339	335	colocalization
556	535	physical association
177	270	physical association
143	521	physical association
161	116	colocalization
161	99	colocalization
256	181	physical association
532	617	physical association
603	416	direct interaction
185	216	direct interaction
185	492	direct interaction
602	426	colocalization
602	154	colocalization
387	67	colocalization
387	388	physical association
387	614	colocalization
621	124	physical association
621	316	physical association
621	510	colocalization
621	38	direct interaction
565	231	direct interaction
13	13	association
141	395	direct interaction
141	235	direct interaction
141	521	physical association
141	607	physical association
62	439	physical association
305	151	direct interaction
305	306	direct interaction
24	24	physical association
367	381	physical association
110	111	direct interaction
110	162	colocalization
