263	PAFAH1B3	protein
264	TPSB2	protein
265	FXYD1	protein
266	MRPL18	protein
267	REV1	protein
268	IRF5	protein
269	EZH2	protein
270	THOC7	protein
271	ATG101	protein
272	CREBBP	protein
273	REXO2	protein
274	NFATC2	protein
275	ACO2	protein
276	NEFH	protein
277	CUL3	protein
278	EIF4E	protein
279	MAP3K12	protein
280	MRPL20	protein
281	TGFBR3	protein
282	DNMT1	protein
283	PRDX6	protein
284	COASY	protein
285	PIK3C3	protein
286	NUP58	protein
287	NQO1	protein
288	MIR107	protein
289	SLK	protein
290	SNAP25	protein
291	LIFR	protein
292	MDM2	protein
293	SMARCA4	protein
294	NF2	protein
295	RAD21	protein
296	THBS1	protein
297	ABAT	protein
298	BACE1	protein
299	SEC22B	protein
300	PLOD1	protein
301	CDK6	protein
302	PSME3	protein
303	SMN1	protein
304	PPM1B	protein
305	ORC6	protein
306	SMARCAD1	protein
307	SIPA1L1	protein
308	MTOR	protein
309	XRCC6	protein
310	NDUFB10	protein
311	FLI1	protein
312	HGS	protein
313	PCNA	protein
314	MCM5	protein
315	MIR145	protein
316	PSMC5	protein
317	GRIN2B	protein
318	FOXM1	protein
319	ZBTB16	protein
320	LYPLA2	protein
321	PPP3CA	protein
322	IFNAR1	protein
323	RXRG	protein
324	PPP1CB	protein
325	SCP2	protein
326	LCK	protein
327	EIF3F	protein
328	GIT2	protein
329	SLC9A1	protein
330	DAXX	protein
331	SMG7	protein
332	MAFB	protein
333	TP53	protein
334	CYLD	protein
335	MAF	protein
336	HACD1	protein
337	TBXA2R	protein
338	RPL7	protein
339	SLC9A6	protein
340	HEATR1	protein
341	H2AX	protein
342	NFYC	protein
343	PHLPP1	protein
344	IL12RB2	protein
345	BABAM2	protein
346	SGPP1	protein
347	RAG1	protein
348	AMOTL2	protein
349	CSNK2B	protein
350	DNA2	protein
351	EWSR1	protein
352	MRPL10	protein
353	FGF2	protein
354	UNG	protein
355	GOLGA2	protein
356	LPAR6	protein
357	HNF4G	protein
358	BIRC6	protein
359	AMBRA1	protein
360	XRCC5	protein
361	SORL1	protein
362	GNAI3	protein
363	ATXN3	protein
364	NCOA1	protein
365	COL4A2	protein
366	MIR34A	protein
367	RPS6KA2	protein
368	NXF1	protein
369	KRT10	protein
370	AURKA	protein
371	NUP42	protein
372	PSMB1	protein
373	PPP1R12A	protein
374	RHOC	protein
375	IKBKG	protein
376	RAB35	protein
377	BRCA1	protein
378	PPP1CA	protein
379	PC	protein
380	GPX4	protein
381	TADA3	protein
